level;character;pinyin
hsk2;灯;dēng
hsk2;等;děng
hsk2;等到;děng dào
hsk2;等于;děngyú
hsk2;低;dī
hsk2;地球;dìqiú
hsk2;地铁;dìtiě
hsk2;地铁站;dì tiě zhàn
hsk2;点头;diǎn tóu
hsk2;店;diàn
hsk2;掉;diào
hsk2;东北;dōng běi
hsk2;东方;dōng fāng
hsk2;东南;dōng nán
hsk2;冬天;dōng tiān
hsk2;懂;dǒng
hsk2;懂得;dǒng de
hsk2;动物;dòngwù
hsk2;动物园;dòng wù yuán
hsk2;读音;dú yīn
hsk2;度;dù
hsk2;短;duǎn
hsk2;短信;duǎnxìn
hsk2;段;duàn
hsk2;队;duì
hsk2;队长;duì zhǎng
hsk2;对;duì
hsk2;对话;duìhuà
hsk2;对面;duìmiàn
hsk2;多;duō
hsk2;多久;duō jiǔ
hsk2;多么;duōme
hsk2;多数;duō shù
hsk2;多云;duō yún
hsk2;而且;ér qiě
hsk2;发;fā
hsk2;发现;fāxiàn
hsk2;饭馆;fàn guǎn
hsk2;方便;fāngbiàn
hsk2;方便面;fāng biàn miàn
hsk2;方法;fāngfǎ
hsk2;方面;fāngmiàn
hsk2;方向;fāngxiàng
hsk2;放下;fàng xià
hsk2;放心;fàngxīn
hsk2;分;fēn
hsk2;分开;fēn kāi
hsk2;分数;fēn shù
hsk2;分钟;fēnzhōng
hsk2;份;fèn
hsk2;封;fēng
hsk2;服务;fú wù
hsk2;复习;fùxí
hsk2;该;gāi
hsk2;改;gǎi
hsk2;改变;gǎibiàn
hsk2;干杯;gānbēi
hsk2;感到;gǎn dào
hsk2;感动;gǎndòng
hsk2;感觉;gǎnjué
hsk2;感谢;gǎnxiè
hsk2;干活儿;gànhuór
hsk2;刚;gāng
hsk2;刚才;gāngcái
hsk2;刚刚;gāng gāng
hsk2;高级;gāojí
hsk2;高中;gāo zhōng
hsk2;个子;gèzi
hsk2;更;gèng
hsk2;公共汽车;gōnggòngqìchē
hsk2;公交车;gōng jiāo chē
hsk2;公斤;gōngjīn
hsk2;公里;gōnglǐ
hsk2;公路;gōng lù
hsk2;公平;gōngpíng
hsk2;公司;gōngsī
hsk2;公园;gōngyuán
hsk2;狗;gǒu
hsk2;够;gòu
hsk2;故事;gùshi
hsk2;故意;gùyì
hsk2;顾客;gùkè
hsk2;关机;guān jī
hsk2;关心;guānxīn
hsk2;观点;guāndiǎn
hsk2;广场;guǎngchǎng
hsk2;广告;guǎnggào
hsk2;国际;guójì
hsk2;过来;guò lái
hsk2;过年;guò nián
hsk2;过去;guò qù
hsk2;过;guò
hsk2;海;hǎi
hsk2;海边;hǎi biān
hsk2;喊;hǎn
hsk2;好;hǎo
hsk2;好处;hǎochu
hsk2;好多;hǎo duō
hsk2;好久;hǎo jiǔ
hsk2;好人;hǎo rén
hsk2;好事;hǎo shì
hsk2;好像;hǎoxiàng
hsk2;合适;héshì
hsk2;河;hé
hsk2;黑;hēi
hsk2;黑板;hēibǎn
hsk2;黑色;hēi sè
hsk2;红;hóng
hsk2;红色;hóng sè
hsk2;后来;hòulái
hsk2;忽然;hūrán
hsk2;湖;hú
hsk2;护照;hùzhào
hsk2;花;huā
hsk2;花园;huā yuán
hsk2;画;huà
hsk2;画家;huà jiā
hsk2;画儿;huàr
hsk2;坏处;huài chù
hsk2;坏人;huài rén
hsk2;欢迎;huānyíng
hsk2;换;huàn
hsk2;黄;huáng
hsk2;黄色;huáng sè
hsk2;回;huí
hsk2;回国;huí guó
hsk2;会;huì
hsk2;活动;huódòng
hsk2;或;huò
hsk2;或者;huòzhě
hsk2;机会;jīhuì
hsk2;鸡;jī
hsk2;级;jí
hsk2;急;jí
hsk2;计划;jìhuà
hsk2;计算机;jì suàn jī
hsk2;加;jiā
hsk2;加油;jiā yóu
hsk2;家;jiā
hsk2;家庭;jiātíng
hsk2;家长;jiā zhǎng
hsk2;假;jiǎ
hsk2;假期;jià qī
hsk2;检查;jiǎnchá
hsk2;见到;jiàn dào
hsk2;见过;jiàn guò
